boundary_id,record_index,payload_type,termination_reason
compaction-31246,31246,context_compacted,EXPLICIT_COMPACTION
compaction-31631,31631,compacted,EXPLICIT_COMPACTION
compaction-31634,31634,context_compacted,EXPLICIT_COMPACTION
compaction-32137,32137,compacted,EXPLICIT_COMPACTION
compaction-32140,32140,context_compacted,EXPLICIT_COMPACTION
compaction-32778,32778,compacted,EXPLICIT_COMPACTION
compaction-32781,32781,context_compacted,EXPLICIT_COMPACTION
compaction-33596,33596,compacted,EXPLICIT_COMPACTION
compaction-33599,33599,context_compacted,EXPLICIT_COMPACTION
compaction-34476,34476,compacted,EXPLICIT_COMPACTION
compaction-34479,34479,context_compacted,EXPLICIT_COMPACTION
compaction-35203,35203,compacted,EXPLICIT_COMPACTION
compaction-35206,35206,context_compacted,EXPLICIT_COMPACTION
compaction-35817,35817,compacted,EXPLICIT_COMPACTION
compaction-35820,35820,context_compacted,EXPLICIT_COMPACTION
compaction-36546,36546,compacted,EXPLICIT_COMPACTION
compaction-36549,36549,context_compacted,EXPLICIT_COMPACTION
compaction-37103,37103,compacted,EXPLICIT_COMPACTION
compaction-37106,37106,context_compacted,EXPLICIT_COMPACTION
compaction-37228,37228,compacted,EXPLICIT_COMPACTION
compaction-37231,37231,context_compacted,EXPLICIT_COMPACTION
compaction-37375,37375,compacted,EXPLICIT_COMPACTION
compaction-37378,37378,context_compacted,EXPLICIT_COMPACTION
compaction-37573,37573,compacted,EXPLICIT_COMPACTION
compaction-37576,37576,context_compacted,EXPLICIT_COMPACTION
compaction-37774,37774,compacted,EXPLICIT_COMPACTION
compaction-37777,37777,context_compacted,EXPLICIT_COMPACTION
compaction-37965,37965,compacted,EXPLICIT_COMPACTION
compaction-37968,37968,context_compacted,EXPLICIT_COMPACTION
compaction-38191,38191,compacted,EXPLICIT_COMPACTION
compaction-38194,38194,context_compacted,EXPLICIT_COMPACTION
compaction-38353,38353,compacted,EXPLICIT_COMPACTION
compaction-38356,38356,context_compacted,EXPLICIT_COMPACTION
compaction-38467,38467,compacted,EXPLICIT_COMPACTION
compaction-38470,38470,context_compacted,EXPLICIT_COMPACTION
compaction-38795,38795,compacted,EXPLICIT_COMPACTION
compaction-38798,38798,context_compacted,EXPLICIT_COMPACTION
compaction-39056,39056,compacted,EXPLICIT_COMPACTION
compaction-39058,39058,context_compacted,EXPLICIT_COMPACTION
compaction-39335,39335,compacted,EXPLICIT_COMPACTION
compaction-39338,39338,context_compacted,EXPLICIT_COMPACTION
compaction-39647,39647,compacted,EXPLICIT_COMPACTION
compaction-39650,39650,context_compacted,EXPLICIT_COMPACTION
compaction-39859,39859,compacted,EXPLICIT_COMPACTION
compaction-39862,39862,context_compacted,EXPLICIT_COMPACTION
compaction-40119,40119,compacted,EXPLICIT_COMPACTION
compaction-40122,40122,context_compacted,EXPLICIT_COMPACTION
compaction-40387,40387,compacted,EXPLICIT_COMPACTION
compaction-40390,40390,context_compacted,EXPLICIT_COMPACTION
compaction-40630,40630,compacted,EXPLICIT_COMPACTION
compaction-40633,40633,context_compacted,EXPLICIT_COMPACTION
compaction-40814,40814,compacted,EXPLICIT_COMPACTION
compaction-40817,40817,context_compacted,EXPLICIT_COMPACTION
compaction-41024,41024,compacted,EXPLICIT_COMPACTION
compaction-41027,41027,context_compacted,EXPLICIT_COMPACTION
compaction-41415,41415,compacted,EXPLICIT_COMPACTION
compaction-41418,41418,context_compacted,EXPLICIT_COMPACTION
compaction-41672,41672,compacted,EXPLICIT_COMPACTION
compaction-41675,41675,context_compacted,EXPLICIT_COMPACTION
compaction-41959,41959,compacted,EXPLICIT_COMPACTION
compaction-41962,41962,context_compacted,EXPLICIT_COMPACTION
compaction-42177,42177,compacted,EXPLICIT_COMPACTION
compaction-42180,42180,context_compacted,EXPLICIT_COMPACTION
compaction-42474,42474,compacted,EXPLICIT_COMPACTION
compaction-42477,42477,context_compacted,EXPLICIT_COMPACTION
compaction-42651,42651,compacted,EXPLICIT_COMPACTION
compaction-42654,42654,context_compacted,EXPLICIT_COMPACTION
compaction-42773,42773,compacted,EXPLICIT_COMPACTION
compaction-42776,42776,context_compacted,EXPLICIT_COMPACTION
compaction-43013,43013,compacted,EXPLICIT_COMPACTION
compaction-43016,43016,context_compacted,EXPLICIT_COMPACTION
compaction-43243,43243,compacted,EXPLICIT_COMPACTION
compaction-43246,43246,context_compacted,EXPLICIT_COMPACTION
compaction-43532,43532,compacted,EXPLICIT_COMPACTION
compaction-43535,43535,context_compacted,EXPLICIT_COMPACTION
compaction-43698,43698,compacted,EXPLICIT_COMPACTION
compaction-43701,43701,context_compacted,EXPLICIT_COMPACTION
compaction-43896,43896,compacted,EXPLICIT_COMPACTION
compaction-43899,43899,context_compacted,EXPLICIT_COMPACTION
compaction-44237,44237,compacted,EXPLICIT_COMPACTION
compaction-44240,44240,context_compacted,EXPLICIT_COMPACTION
compaction-44436,44436,compacted,EXPLICIT_COMPACTION
compaction-44439,44439,context_compacted,EXPLICIT_COMPACTION
compaction-44594,44594,compacted,EXPLICIT_COMPACTION
compaction-44597,44597,context_compacted,EXPLICIT_COMPACTION
compaction-45090,45090,compacted,EXPLICIT_COMPACTION
compaction-45093,45093,context_compacted,EXPLICIT_COMPACTION
compaction-45232,45232,compacted,EXPLICIT_COMPACTION
compaction-45235,45235,context_compacted,EXPLICIT_COMPACTION
compaction-45441,45441,compacted,EXPLICIT_COMPACTION
compaction-45444,45444,context_compacted,EXPLICIT_COMPACTION
compaction-45660,45660,compacted,EXPLICIT_COMPACTION
compaction-45663,45663,context_compacted,EXPLICIT_COMPACTION
compaction-46054,46054,compacted,EXPLICIT_COMPACTION
compaction-46057,46057,context_compacted,EXPLICIT_COMPACTION
compaction-46299,46299,compacted,EXPLICIT_COMPACTION
compaction-46302,46302,context_compacted,EXPLICIT_COMPACTION
compaction-46610,46610,compacted,EXPLICIT_COMPACTION
compaction-46613,46613,context_compacted,EXPLICIT_COMPACTION
compaction-47009,47009,compacted,EXPLICIT_COMPACTION
compaction-47012,47012,context_compacted,EXPLICIT_COMPACTION
compaction-47324,47324,compacted,EXPLICIT_COMPACTION
compaction-47327,47327,context_compacted,EXPLICIT_COMPACTION
compaction-47550,47550,compacted,EXPLICIT_COMPACTION
compaction-47553,47553,context_compacted,EXPLICIT_COMPACTION
compaction-47797,47797,compacted,EXPLICIT_COMPACTION
compaction-47800,47800,context_compacted,EXPLICIT_COMPACTION
compaction-48047,48047,compacted,EXPLICIT_COMPACTION
compaction-48050,48050,context_compacted,EXPLICIT_COMPACTION
compaction-48460,48460,compacted,EXPLICIT_COMPACTION
compaction-48463,48463,context_compacted,EXPLICIT_COMPACTION
compaction-48661,48661,compacted,EXPLICIT_COMPACTION
compaction-48664,48664,context_compacted,EXPLICIT_COMPACTION
compaction-48977,48977,compacted,EXPLICIT_COMPACTION
compaction-48980,48980,context_compacted,EXPLICIT_COMPACTION
compaction-49481,49481,compacted,EXPLICIT_COMPACTION
compaction-49484,49484,context_compacted,EXPLICIT_COMPACTION
compaction-49683,49683,compacted,EXPLICIT_COMPACTION
compaction-49686,49686,context_compacted,EXPLICIT_COMPACTION
compaction-50224,50224,compacted,EXPLICIT_COMPACTION
compaction-50226,50226,context_compacted,EXPLICIT_COMPACTION
compaction-50461,50461,compacted,EXPLICIT_COMPACTION
compaction-50464,50464,context_compacted,EXPLICIT_COMPACTION
compaction-50630,50630,compacted,EXPLICIT_COMPACTION
compaction-50633,50633,context_compacted,EXPLICIT_COMPACTION
compaction-50916,50916,compacted,EXPLICIT_COMPACTION
compaction-50919,50919,context_compacted,EXPLICIT_COMPACTION
compaction-51487,51487,compacted,EXPLICIT_COMPACTION
compaction-51490,51490,context_compacted,EXPLICIT_COMPACTION
compaction-52361,52361,compacted,EXPLICIT_COMPACTION
compaction-52364,52364,context_compacted,EXPLICIT_COMPACTION
compaction-52964,52964,compacted,EXPLICIT_COMPACTION
compaction-52967,52967,context_compacted,EXPLICIT_COMPACTION
compaction-53588,53588,compacted,EXPLICIT_COMPACTION
compaction-53591,53591,context_compacted,EXPLICIT_COMPACTION
compaction-54053,54053,compacted,EXPLICIT_COMPACTION
compaction-54056,54056,context_compacted,EXPLICIT_COMPACTION
compaction-54873,54873,compacted,EXPLICIT_COMPACTION
compaction-54876,54876,context_compacted,EXPLICIT_COMPACTION
compaction-55711,55711,compacted,EXPLICIT_COMPACTION
compaction-55714,55714,context_compacted,EXPLICIT_COMPACTION
compaction-56503,56503,compacted,EXPLICIT_COMPACTION
compaction-56506,56506,context_compacted,EXPLICIT_COMPACTION
compaction-56991,56991,compacted,EXPLICIT_COMPACTION
compaction-56994,56994,context_compacted,EXPLICIT_COMPACTION
compaction-57790,57790,compacted,EXPLICIT_COMPACTION
compaction-57793,57793,context_compacted,EXPLICIT_COMPACTION
compaction-58837,58837,compacted,EXPLICIT_COMPACTION
compaction-58840,58840,context_compacted,EXPLICIT_COMPACTION
compaction-59774,59774,compacted,EXPLICIT_COMPACTION
compaction-59777,59777,context_compacted,EXPLICIT_COMPACTION
compaction-60915,60915,compacted,EXPLICIT_COMPACTION
compaction-60918,60918,context_compacted,EXPLICIT_COMPACTION
compaction-62010,62010,compacted,EXPLICIT_COMPACTION
compaction-62013,62013,context_compacted,EXPLICIT_COMPACTION
compaction-63366,63366,compacted,EXPLICIT_COMPACTION
compaction-63369,63369,context_compacted,EXPLICIT_COMPACTION
compaction-64379,64379,compacted,EXPLICIT_COMPACTION
compaction-64382,64382,context_compacted,EXPLICIT_COMPACTION
compaction-65424,65424,compacted,EXPLICIT_COMPACTION
compaction-65427,65427,context_compacted,EXPLICIT_COMPACTION
compaction-66217,66217,compacted,EXPLICIT_COMPACTION
compaction-66220,66220,context_compacted,EXPLICIT_COMPACTION
compaction-66836,66836,compacted,EXPLICIT_COMPACTION
compaction-66839,66839,context_compacted,EXPLICIT_COMPACTION
compaction-67334,67334,compacted,EXPLICIT_COMPACTION
compaction-67337,67337,context_compacted,EXPLICIT_COMPACTION
compaction-67962,67962,compacted,EXPLICIT_COMPACTION
compaction-67965,67965,context_compacted,EXPLICIT_COMPACTION
compaction-68442,68442,compacted,EXPLICIT_COMPACTION
